iter	Passed	Remaining
0	168	168665
1	172	86179
2	177	58990
3	182	45525
4	187	37253
5	191	31760
6	196	27812
7	200	24886
8	207	22813
9	211	20987
10	219	19703
11	223	18416
12	227	17265
13	230	16201
14	232	15259
15	234	14427
16	245	14177
17	259	14168
18	260	13473
19	262	12884
20	264	12334
21	266	11834
22	268	11385
23	269	10943
24	270	10538
25	271	10163
26	272	9817
27	273	9493
28	276	9269
29	278	8991
30	281	8794
31	283	8578
32	284	8343
33	286	8130
34	287	7921
35	288	7721
36	289	7530
37	290	7354
38	293	7237
39	295	7102
40	297	6948
41	298	6808
42	299	6673
43	300	6539
44	302	6409
45	303	6296
46	304	6178
47	305	6066
48	306	5957
49	308	5852
50	309	5753
51	310	5656
52	311	5563
53	313	5490
54	315	5413
55	316	5328
56	317	5246
57	318	5167
58	319	5091
59	320	5017
60	321	4945
61	322	4877
62	323	4809
63	326	4775
64	328	4728
65	329	4665
66	330	4604
67	331	4540
68	332	4483
69	333	4427
70	334	4373
71	335	4323
72	336	4273
73	337	4227
74	339	4185
75	340	4139
76	341	4094
77	342	4049
78	343	4006
79	344	3964
80	345	3924
81	347	3885
82	350	3870
83	351	3831
84	352	3790
85	353	3753
86	353	3713
87	354	3677
88	355	3643
89	357	3610
90	358	3576
91	360	3560
92	363	3541
93	364	3511
94	365	3482
95	366	3454
96	368	3427
97	372	3425
98	374	3405
99	375	3379
100	376	3355
101	377	3325
102	379	3302
103	380	3279
104	382	3256
105	384	3239
106	385	3218
107	386	3194
108	388	3172
109	389	3151
110	390	3128
111	391	3107
112	393	3084
113	395	3070
114	396	3049
115	397	3027
116	398	3008
117	399	2987
118	400	2966
119	401	2946
120	403	2931
121	405	2917
122	406	2895
123	407	2877
124	408	2860
125	410	2844
126	411	2826
127	412	2807
128	413	2791
129	416	2788
130	419	2779
131	420	2763
132	421	2746
133	422	2729
134	423	2712
135	424	2696
136	425	2680
137	426	2663
138	429	2663
139	431	2648
140	432	2632
141	433	2617
142	434	2602
143	435	2590
144	436	2575
145	437	2561
146	438	2546
147	441	2541
148	442	2529
149	443	2515
150	444	2502
151	446	2488
152	447	2475
153	448	2462
154	449	2449
155	450	2436
156	451	2423
157	454	2422
158	455	2410
159	456	2398
160	457	2386
161	459	2376
162	460	2365
163	461	2353
164	462	2341
165	463	2331
166	465	2324
167	466	2312
168	468	2301
169	469	2290
170	470	2279
171	471	2268
172	472	2257
173	473	2246
174	474	2236
175	476	2229
176	477	2222
177	478	2211
178	480	2202
179	481	2192
180	481	2180
181	482	2170
182	483	2160
183	484	2150
184	486	2141
185	487	2135
186	490	2130
187	491	2121
188	492	2112
189	493	2103
190	494	2095
191	495	2086
192	496	2077
193	497	2068
194	498	2059
195	501	2055
196	502	2047
197	503	2038
198	504	2029
199	505	2021
200	506	2012
201	507	2004
202	508	1995
203	509	1988
204	511	1983
205	513	1977
206	514	1970
207	515	1962
208	516	1955
209	517	1947
210	518	1940
211	520	1933
212	521	1926
213	524	1927
214	525	1919
215	526	1912
216	527	1904
217	528	1897
218	529	1889
219	530	1882
220	531	1874
221	533	1867
222	534	1860
223	537	1861
224	538	1855
225	539	1848
